Open,High,Low,Close,Volume,PreviousType
1.04892,1.04919,1.04916,1.04917,3,0
1.04916,1.04918,1.04913,1.0491,8,1
1.04916,1.04918,1.04909,1.04911,13,1
1.04916,1.04918,1.04907,1.04908,18,1
1.04916,1.04918,1.04907,1.04913,23,1
1.04916,1.04918,1.04907,1.04917,28,0
1.04916,1.04918,1.04907,1.04914,33,1
1.04916,1.04921,1.04907,1.04927,38,0
1.04916,1.04928,1.04907,1.04924,43,0
1.04916,1.04928,1.04907,1.04923,49,0
1.04916,1.04928,1.04917,1.04918,3,0
1.04917,1.04918,1.04912,1.04913,8,1
1.04917,1.04918,1.04908,1.04912,13,1
1.04917,1.04918,1.04907,1.04905,18,1
1.04917,1.04918,1.04904,1.04905,23,1
1.04917,1.04918,1.04904,1.04911,28,1
1.04917,1.04918,1.04904,1.04913,33,1
1.04917,1.04918,1.04904,1.04915,38,1
1.04917,1.04918,1.04904,1.04915,43,1
1.04917,1.04918,1.04904,1.04917,48,0
1.04917,1.04921,1.04904,1.0492,53,0
1.04917,1.04922,1.04904,1.04911,60,1
1.04917,1.04922,1.04904,1.04911,1,1
1.04911,1.04917,1.04911,1.04919,6,0
1.04911,1.04921,1.04911,1.04918,11,0
1.04911,1.04921,1.04911,1.04921,16,0
1.04911,1.04922,1.04911,1.04919,21,0
1.04911,1.04922,1.04911,1.04917,26,0
1.04911,1.04922,1.04911,1.04917,31,0
1.04911,1.04923,1.04911,1.04928,36,0
1.04911,1.04928,1.04911,1.04927,41,0
1.04911,1.04929,1.04911,1.04928,46,0
1.04911,1.04932,1.04911,1.04929,51,0
1.04911,1.04934,1.04911,1.04938,56,0
1.04911,1.0493999999999999,1.04911,1.04939,61,0
1.04911,1.0493999999999999,1.04911,1.04935,66,0
1.04911,1.0493999999999999,1.04911,1.04935,71,0
1.04911,1.0493999999999999,1.04911,1.04934,76,0
1.04911,1.04933,1.04933,1.04936,4,0
1.04933,1.04938,1.04933,1.04934,9,0
1.04933,1.04939,1.04933,1.04942,14,0
1.04933,1.04945,1.04933,1.04947,19,0
1.04933,1.04956,1.04933,1.04955,24,0
1.04933,1.0496,1.04933,1.04963,29,0
1.04933,1.04963,1.04933,1.0495700000000001,34,0
1.04933,1.04963,1.04933,1.04964,40,0
1.04933,1.04964,1.04933,1.0496,45,0
1.04933,1.04964,1.04933,1.04963,50,0
1.04933,1.04964,1.04933,1.04962,55,0
1.04933,1.04964,1.04933,1.04958,60,0
1.04933,1.04964,1.04933,1.04962,65,0
1.04933,1.04964,1.04933,1.0496,70,0
1.04933,1.04965,1.04933,1.04969,75,0
1.04933,1.04974,1.04933,1.04972,80,0
1.04933,1.04979,1.04933,1.0498,2,0
1.0498,1.04981,1.04978,1.04976,7,1
1.0498,1.04981,1.04976,1.04979,12,1
1.0498,1.04985,1.04976,1.04986,17,0
1.0498,1.04986,1.04976,1.04979,22,1
1.0498,1.04986,1.04976,1.04977,27,1
1.0498,1.04986,1.04972,1.04978,32,1
1.0498,1.04986,1.04972,1.04984,37,0
1.0498,1.04987,1.04972,1.04988,42,0
1.0498,1.0499,1.04972,1.04989,47,0
1.0498,1.04991,1.04972,1.04985,52,0
1.0498,1.04991,1.04972,1.04991,57,0
1.0498,1.04992,1.04972,1.04994,62,0
1.0498,1.04994,1.04991,1.04993,3,0
1.04991,1.04994,1.04991,1.04991,8,0
1.04991,1.04994,1.04991,1.04993,13,0
1.04991,1.04994,1.04991,1.04995,18,0
1.04991,1.0500099999999999,1.04991,1.05002,23,0
1.04991,1.05006,1.04991,1.05002,28,0
1.04991,1.05006,1.04991,1.05006,33,0
1.04991,1.05006,1.04991,1.05005,38,0
1.04991,1.05006,1.04991,1.05,43,0
1.04991,1.05006,1.04991,1.04998,48,0
1.04991,1.05006,1.04991,1.0500099999999999,53,0
1.04991,1.05006,1.04991,1.04998,58,0
1.04991,1.05006,1.04991,1.04999,63,0
1.04991,1.05006,1.04991,1.0500099999999999,68,0
1.04991,1.05006,1.04991,1.04997,73,0
1.04991,1.05006,1.04991,1.04998,78,0
1.04991,1.05006,1.04991,1.04999,83,0
1.04991,1.05006,1.05,1.0500099999999999,3,0
1.05,1.05004,1.05,1.05006,8,0
1.05,1.05006,1.05,1.05005,14,0
1.05,1.05008,1.05,1.05008,19,0
1.05,1.0501,1.05,1.05008,24,0
1.05,1.0501,1.05,1.05006,29,0
1.05,1.0501,1.04998,1.04997,34,1
1.05,1.0501,1.04997,1.0500099999999999,39,0
